month,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
2025-10,Trend Pullback,Trend-Pullback,v1,"{""trend_ema"": 30, ""fast_ema"": 5, ""rsi_len"": 5, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""atr_mult"": 1.2}",86,18.17,1.554,0.381,40.12,30.2,0.5603,5.2003,-1.4503,8,47,39,1.46,46.73,0.0148,1.28,18.17,18.17,18.17,18.17
2025-10,Momentum Accel,Momentum,v4,"{""macd_fast"": 6, ""macd_slow"": 18, ""macd_sig"": 4, ""adx_len"": 8, ""adx_thresh"": 15, ""atr_mult"": 0.8}",122,14.17,1.435,0.355,39.85,26.2,0.4064,5.1086,-1.2655,9,67,55,-16.93,66.52,0.0128,-7.04,14.17,14.17,14.17,14.17
2025-10,Ensemble Vote,Ensemble,v3,"{""ema_fast"": 5, ""ema_slow"": 13, ""rsi_len"": 5, ""macd_fast"": 8, ""macd_slow"": 17, ""stoch_len"": 9, ""bb_len"": 15, ""min_votes"": 4, ""atr_mult"": 1.5}",76,14.09,1.641,0.315,29.4,25.0,0.5319,5.4454,-1.106,7,44,32,-31.47,71.89,0.0176,-10.22,14.09,14.09,14.09,14.09
2025-12,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",28,11.08,2.351,0.741,3.62,39.3,0.4318,1.9127,-0.5264,4,10,18,14.47,-2.38,0.4815,-2.54,11.08,11.08,11.08,11.08
2025-12,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",28,11.08,2.351,0.741,3.62,39.3,0.4318,1.9127,-0.5264,4,10,18,14.47,-2.38,0.4815,-2.54,11.08,11.08,11.08,11.08
2025-10,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",25,9.68,2.524,0.582,5.2,44.0,0.4036,1.519,-0.4728,4,12,13,9.36,0.73,0.2826,2.38,9.68,9.68,9.68,9.68
2025-10,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",25,9.68,2.524,0.582,5.2,44.0,0.4036,1.519,-0.4728,4,12,13,9.36,0.73,0.2826,2.38,9.68,9.68,9.68,9.68
2025-12,VWAP Bounce,Mean-Reversion,v1,"{""vwap_len"": 14, ""vwap_mult"": 1.0, ""rsi_len"": 5, ""atr_mult"": 1.0}",45,8.9,1.757,0.586,4.92,26.7,0.2233,1.943,-0.402,10,18,27,13.36,-3.31,0.2093,2.8,8.9,8.9,8.9,8.9
2025-09,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",32,5.61,1.764,0.566,5.59,15.6,0.1948,2.8779,-0.3021,21,11,21,5.81,0.42,0.1785,-2.29,5.61,5.61,5.61,5.61
2025-09,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",32,5.61,1.764,0.566,5.59,15.6,0.1948,2.8779,-0.3021,21,11,21,5.81,0.42,0.1785,-2.29,5.61,5.61,5.61,5.61
2025-09,VWAP Bounce,Mean-Reversion,v1,"{""vwap_len"": 14, ""vwap_mult"": 1.0, ""rsi_len"": 5, ""atr_mult"": 1.0}",57,5.42,1.467,0.509,6.15,15.8,0.107,2.1283,-0.272,17,19,38,7.88,-1.78,0.1214,-1.64,5.42,5.42,5.42,5.42
2025-09,Momentum Accel,Momentum,v4,"{""macd_fast"": 6, ""macd_slow"": 18, ""macd_sig"": 4, ""adx_len"": 8, ""adx_thresh"": 15, ""atr_mult"": 0.8}",119,5.31,1.181,0.273,21.23,24.4,0.055,1.4708,-0.4013,18,64,55,-3.68,10.22,0.0152,-2.86,5.31,5.31,5.31,5.31
2025-10,RSI Momentum,Momentum,v3,"{""rsi_len"": 7, ""rsi_long_entry"": 52, ""rsi_short_entry"": 48, ""rsi_long_exit"": 70, ""rsi_short_exit"": 30, ""atr_mult"": 1.0}",97,3.96,1.215,0.191,24.18,23.7,0.1266,3.0168,-0.7717,13,64,33,-29.9,42.18,0.0096,-13.14,3.96,3.96,3.96,3.96
2025-09,Trend Pullback,Trend-Pullback,v4,"{""trend_ema"": 20, ""fast_ema"": 5, ""rsi_len"": 5, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""atr_mult"": 0.8}",60,2.26,1.226,0.202,4.74,20.0,0.0468,1.2675,-0.2584,14,37,23,-8.04,10.85,0.0523,-0.98,2.26,2.26,2.26,2.26
2025-09,Momentum Accel,Momentum,default,"{""macd_fast"": 8, ""macd_slow"": 21, ""macd_sig"": 5, ""adx_len"": 10, ""adx_thresh"": 20, ""atr_mult"": 1.3}",108,1.57,1.086,0.126,22.47,27.8,0.0326,1.4841,-0.5256,15,55,53,-7.37,10.9,0.0061,-6.41,1.57,1.57,1.57,1.57
2025-09,Momentum Accel,Momentum,v2,"{""macd_fast"": 8, ""macd_slow"": 21, ""macd_sig"": 5, ""adx_len"": 10, ""adx_thresh"": 20, ""atr_mult"": 1.3}",108,1.57,1.086,0.126,22.47,27.8,0.0326,1.4841,-0.5256,15,55,53,-7.37,10.9,0.0061,-6.41,1.57,1.57,1.57,1.57
2026-01,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",27,1.3,1.203,0.215,4.41,29.6,0.0471,0.9431,-0.3302,12,18,9,1.89,-0.62,0.0585,2.35,1.3,1.3,1.3,1.3
2026-01,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",27,1.3,1.203,0.215,4.41,29.6,0.0471,0.9431,-0.3302,12,18,9,1.89,-0.62,0.0585,2.35,1.3,1.3,1.3,1.3
2026-02,BB Squeeze,Breakout,v3,"{""bb_len"": 10, ""bb_mult"": 2.0, ""kc_len"": 10, ""kc_mult"": 1.5, ""atr_mult"": 1.2}",9,0.35,1.214,0.37,0.68,55.6,0.0191,0.1954,-0.2013,2,5,4,-0.21,0.38,0.6595,0.35,0.35,0.35,0.35,0.35
2025-11,BB Squeeze,Breakout,v1,"{""bb_len"": 15, ""bb_mult"": 1.5, ""kc_len"": 15, ""kc_mult"": 1.0, ""atr_mult"": 1.5}",8,0.22,1.149,0.09,0.93,25.0,0.0312,0.9656,-0.2802,5,3,5,-1.03,1.28,0.1114,0.0,0.22,0.22,0.22,0.22
